what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1371687854295
closed,editor,org.jboss.tools.central,1.0.1.v20130112-0624-H128-Final,"org.jboss.tools.central.editors.JBossCentralEditor",1371687854342
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687854358
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687854428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687859538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687863105
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687867044
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687867156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371687869372
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687869660
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687869848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687875120
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687875121
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371687876221
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371687876224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687881571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687886792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687888702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687895761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687898164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687899618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371687899632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687900849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687902048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371687902067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687906509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687920284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687922055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687923273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687935954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687937728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687938419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371687938433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687942180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687944920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687947191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687956969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687961242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687967457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687971213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687972561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687973242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371687973253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687973688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687974219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371687974236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687977955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371687978597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371687978617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687980351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687980508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687980658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371687980806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688009184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688024901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688024958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688026135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688029445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688034790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688034870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688035827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688037286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688038785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688039044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688045378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688045421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688046525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688047783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688052811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688060984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688091030
started,bundle,org.jboss.tools.common.jdt.debug,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.jdt.debug",1371688092035
started,bundle,org.jboss.tools.common.jdt.debug.ui,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.jdt.debug.ui",1371688092037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688093796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688160399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1371688160412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688166870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688174558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688175318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688176713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1371688180314
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688183082
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688183211
started,bundle,org.jboss.tools.common.ui,3.3.1.v20130102-1651-H83-Final,"org.jboss.tools.common.ui",1371688184825
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1371688184866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688204626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688210353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688210948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688216051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688220469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688260174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688297998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1371688298045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688300696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688303157
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688304121
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688304255
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688311331
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1371688324272
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1371688324466
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688327428
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1371688327439
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688330713
opened,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1371688334633
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1371688334770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688336586
closed,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1371688336597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688337710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688379870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688415928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688438588
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688440334
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688440546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688449635
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688449909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688450042
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688475558
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688543079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688545797
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688561269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688571636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688628450
opened,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1371688636002
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1371688636126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688641654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688650149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688654418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688661347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688663677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688668027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688671225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688675335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371688680797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688683894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688688130
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1371688688783
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1371688688811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371688690146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688694630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371688697040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371688701073
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688704109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371688704281
